,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
3243,Virginia,US,2021-02-27 05:30:48,37.7693,-78.17,1657,234,234,,51.0,6708.894913127134,5854653.0,,1.4314428461910558,84000051.0,USA,68591.64627247622,
3244,Washington,US,2021-02-27 05:30:48,47.4009,-121.4905,1169,14,14,,53.0,4449.465015463777,5193250.0,,1.46271493586603,84000053.0,USA,68198.59451734909,
3245,West Virginia,US,2021-02-27 05:30:48,38.4912,-80.9545,421,1,1,7800.0,54.0,7322.725200555535,2184317.0,,1.7457366231312008,84000054.0,USA,121882.69154260225,
3246,Wisconsin,US,2021-02-27 05:30:48,44.2685,-89.6165,793,5,5,60979.0,55.0,10580.076991855984,6860518.0,,1.1361680989841203,84000055.0,USA,117829.03850863744,
3247,Wyoming,US,2021-02-27 05:30:48,42.756,-107.3025,148,0,0,681.0,56.0,9390.78269193222,636716.0,,1.234590616375345,84000056.0,USA,110014.01274105457,
3248,Alabama,US,2021-02-28 05:30:29,32.3182,-86.9023,834,61,61,197623.0,1.0,10048.223756599029,4032426.0,,2.0154947501740472,84000001.0,USA,82240.9515447612,
3249,Alaska,US,2021-02-28 05:30:29,61.3707,-152.4044,4,0,0,,2.0,7968.751067945239,1679675.0,,0.4974697658461274,84000002.0,USA,229606.5177125125,
3250,American Samoa,US,2021-02-28 05:30:29,-14.270999999999999,-170.132,0,0,0,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
3251,Arizona,US,2021-02-28 05:30:29,33.7298,-111.4312,1179,70,70,,4.0,11206.741517770231,7623393.0,,1.9574430524685944,84000004.0,USA,51486.75240430422,
3252,Arkansas,US,2021-02-28 05:30:29,34.9697,-92.3731,557,10,10,4510.0,5.0,10577.061996073966,2641892.0,,1.697081721204906,84000005.0,USA,87543.52502680758,
3253,California,US,2021-02-28 05:30:29,36.1162,-119.6816,5334,168,168,,6.0,9180.05043654466,48219490.0,,1.4266211077176545,84000006.0,USA,122036.89476038846,
3254,Colorado,US,2021-02-28 05:30:29,39.0598,-105.3111,1264,5,5,,8.0,7422.844179694987,6190522.0,,1.3907668985781192,84000008.0,USA,107497.93010132779,
3255,Connecticut,US,2021-02-28 05:30:29,41.5978,-72.7554,0,0,0,,9.0,7851.990597110415,6299277.0,,2.7226679431033127,84000009.0,USA,176683.588165553,
3256,Delaware,US,2021-02-28 05:30:29,39.3185,-75.5071,419,0,0,,10.0,8884.801656253467,1387364.0,,1.6389842458707538,84000010.0,USA,142474.35723645563,
3257,Diamond Princess,US,2021-02-28 05:30:29,,,0,0,0,,88888.0,,,,0.0,84088888.0,USA,,
