,Province_State,Confirmed,Deaths,Recovered,Lat,Long_
2001,Missouri,2191,14,14,38.4561,-92.2884
2002,Montana,347,-1,-1,46.9219,-110.4544
2003,Nebraska,520,6,6,41.1254,-98.2681
2004,Nevada,897,39,39,38.3135,-117.0554
2005,New Hampshire,427,6,6,43.4525,-71.5639
2006,New Jersey,4228,93,93,40.2989,-74.521
2007,New Mexico,582,23,23,34.8405,-106.2485
2008,New York,7897,168,168,42.1657,-74.9481
2009,North Carolina,5547,113,113,35.6301,-79.8064
2010,North Dakota,61,4,4,47.5289,-99.78399999999999
2011,Northern Mariana Islands,0,0,0,15.0979,145.6739
2012,Ohio,3683,63,63,40.3888,-82.7649
2013,Oklahoma,2669,29,29,35.5653,-96.9289
2014,Oregon,817,4,4,44.571999999999996,-122.0709
2015,Pennsylvania,5058,160,160,40.5908,-77.2098
2016,Puerto Rico,80,6,6,18.2208,-66.5901
2017,Rhode Island,600,6,6,41.6809,-71.5118
2018,South Carolina,6096,66,66,33.8569,-80.945
2019,South Dakota,131,10,10,44.2998,-99.4388
2020,Tennessee,2661,203,203,35.7478,-86.6923
2021,Texas,14579,440,440,31.0545,-97.5635
2022,Utah,1216,17,17,40.15,-111.8624
2023,Vermont,109,0,0,44.0459,-72.7107
2024,Virgin Islands,9,0,0,18.3358,-64.8963
2025,Virginia,5069,82,82,37.7693,-78.17
2026,Washington,1493,33,33,47.4009,-121.4905
2027,West Virginia,597,20,20,38.4912,-80.9545
2028,Wisconsin,1427,30,30,44.2685,-89.6165
2029,Wyoming,108,0,0,42.756,-107.3025
2030,Alabama,1992,64,64,32.3182,-86.9023
2031,Alaska,3,0,0,61.3707,-152.4044
2032,American Samoa,0,0,0,-14.270999999999999,-170.132
2033,Arizona,3471,63,63,33.7298,-111.4312
2034,Arkansas,1341,11,11,34.9697,-92.3731
2035,California,15080,435,435,36.1162,-119.6816
2036,Colorado,1502,17,17,39.0598,-105.3111
2037,Connecticut,0,0,0,41.5978,-72.7554
2038,Delaware,286,4,4,39.3185,-75.5071
2039,Diamond Princess,0,0,0,,
2040,District of Columbia,243,7,7,38.8974,-77.0268
2041,Florida,7486,142,142,27.7663,-81.6868
2042,Georgia,4490,232,232,33.0406,-83.6431
2043,Grand Princess,0,0,0,,
2044,Guam,0,0,0,13.4443,144.7937
2045,Hawaii,91,0,0,21.0943,-157.4983
2046,Idaho,240,9,9,44.2405,-114.4788
2047,Illinois,3062,73,73,40.3495,-88.9861
2048,Indiana,2816,66,66,39.8494,-86.2583
2049,Iowa,509,41,41,42.0115,-93.2105
2050,Kansas,0,0,0,38.5266,-96.7265
2051,Kentucky,1994,49,49,37.6681,-84.6701
2052,Louisiana,0,0,0,31.1695,-91.8678
2053,Maine,266,2,2,44.6939,-69.3819
2054,Maryland,1500,42,42,39.0639,-76.8021
2055,Massachusetts,3619,62,62,42.2302,-71.5301
2056,Michigan,1186,104,104,43.3266,-84.5361
2057,Minnesota,993,16,16,45.6945,-93.9002
2058,Mississippi,1036,44,44,32.7416,-89.6787
2059,Missouri,1194,17,17,38.4561,-92.2884
2060,Montana,259,5,5,46.9219,-110.4544
2061,Nebraska,352,10,10,41.1254,-98.2681
2062,Nevada,898,33,33,38.3135,-117.0554
2063,New Hampshire,341,7,7,43.4525,-71.5639
2064,New Jersey,4511,78,78,40.2989,-74.521
2065,New Mexico,421,8,8,34.8405,-106.2485
2066,New York,11492,201,201,42.1657,-74.9481
2067,North Carolina,4172,85,85,35.6301,-79.8064
2068,North Dakota,11,2,2,47.5289,-99.78399999999999
2069,Northern Mariana Islands,0,0,0,15.0979,145.6739
2070,Ohio,3549,69,69,40.3888,-82.7649
2071,Oklahoma,2063,51,51,35.5653,-96.9289
2072,Oregon,604,18,18,44.571999999999996,-122.0709
2073,Pennsylvania,4139,145,145,40.5908,-77.2098
2074,Puerto Rico,291,5,5,18.2208,-66.5901
2075,Rhode Island,0,7,7,41.6809,-71.5118
2076,South Carolina,3007,58,58,33.8569,-80.945
2077,South Dakota,188,6,6,44.2998,-99.4388
2078,Tennessee,3182,58,58,35.7478,-86.6923
2079,Texas,8502,289,289,31.0545,-97.5635
2080,Utah,1211,5,5,40.15,-111.8624
2081,Vermont,154,1,1,44.0459,-72.7107
2082,Virgin Islands,0,0,0,18.3358,-64.8963
2083,Virginia,4709,41,41,37.7693,-78.17
